OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-01-01T00:00:00,2018-01-31T23:59:59,Month,2018-01,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,166828,219675,142193,115769,94224
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-01-01T00:00:00,2018-01-31T23:59:59,Month,2018-01,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,177746,234124,156794,126725,98094
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-12-01T00:00:00,2017-12-31T23:59:59,Month,2017-12,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,146383,201128,125326,100367,78349
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-12-01T00:00:00,2017-12-31T23:59:59,Month,2017-12,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,168502,208159,142770,113549,86914
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-12-01T00:00:00,2017-12-31T23:59:59,Month,2017-12,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,143900,230144,154727,119374,99827
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-12-01T00:00:00,2017-12-31T23:59:59,Month,2017-12,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,199989,242575,164279,136664,101056
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-12-01T00:00:00,2017-12-31T23:59:59,Month,2017-12,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,184823,229287,156109,127303,86886
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-12-01T00:00:00,2017-12-31T23:59:59,Month,2017-12,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,205311,288260,185571,149494,107625
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-12-01T00:00:00,2017-12-31T23:59:59,Month,2017-12,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,167353,220336,142562,116230,94627
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-12-01T00:00:00,2017-12-31T23:59:59,Month,2017-12,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,176887,233663,155861,125622,97048
